MNEMONIC,OPCODE,/d,+r,EQIV,KeepOV,AddrOV,OpOV,Op1_t,Op2_t,Imm3,Read1,Read2,R1->1,R2->2,R1->reg,Scale_OV,Out_reg
AAA,37,,,AAA,,,,AX,,,1,,1,,,,
AAD,D5,,,AAD,,,,AX,,,1,,1,,,,
AAM,D4,,,AAM,,,,AX,,,1,,1,,,,
AAS,3F,,,AAS,,,,AX,,,1,,1,,,,
ADC,14,,,ADC,,,,AL,imm8,,1,1,1,,,,
ADC,15,,,ADC,1,,,EAX,imm32,,1,1,1,,,,
ADC,80,2,,ADC,,,,r/m8,imm8,,1,1,1,,,,
ADC,81,2,,ADC,1,,,r/m,imm32,,1,1,1,,,,
ADC,83,2,,ADC,1,,,r/m,imm8,,1,1,1,,,,
ADC,10,,,ADC,,,,r/m8,r8,,1,1,1,,,,
ADC,11,,,ADC,1,,,r/m,r,,1,1,1,,,,
ADC,12,,,ADC,,,,r8,r/m8,,1,1,1,,,,
ADC,13,,,ADC,,,,r,r/m,,1,1,1,,,,
ADD,4,,,ADD,,,,,,,,,,,,,
ADD,5,,,ADD,,,,,,,,,,,,,
ADD,80,0,,ADD,,,,,,,,,,,,,
ADD,81,0,,ADD,,,,,,,,,,,,,
ADD,83,0,,ADD,1,,,r/m,imm8,,1,1,1,,,,
ADD,0,,,ADD,,,,,,,,,,,,,
ADD,1,,,ADD,,,,,,,,,,,,,
ADD,2,,,ADD,,,,,,,,,,,,,
ADD,3,,,ADD,,,,,,,,,,,,,
AND,24,,,AND,,,,,,,,,,,,,
AND,25,,,AND,,,,,,,,,,,,,
AND,80,4,,AND,,,,,,,,,,,,,
AND,81,4,,AND,,,,,,,,,,,,,
AND,83,4,,AND,,,,,,,,,,,,,
AND,20,,,AND,,,,,,,,,,,,,
AND,21,,,AND,,,,,,,,,,,,,
AND,22,,,AND,,,,,,,,,,,,,
AND,23,,,AND,,,,,,,,,,,,,
ARPL,63,,,ARPL,,,,,,,,,,,,,
BOUND,62,,,BOUND,,,,,,,,,,,,,
BSF,0FBC,,,BSF,,,,,,,,,,,,,
BSR,0FBD,,,BSR,,,,,,,,,,,,,
BT,0FA3,,,BT,,,,,,,,,,,,,
BT,0FBA,4,,BT,,,,,,,,,,,,,
BTC,0FBB,,,BTC,,,,,,,,,,,,,
BTC,0FBA,7,,BTC,,,,,,,,,,,,,
BTR,0FB3,,,BTR,,,,,,,,,,,,,
BTR,0FBA,6,,BTR,,,,,,,,,,,,,
BTS,0FAB,,,BTS,,,,,,,,,,,,,
BTS,0FBA,5,,BTS,,,,,,,,,,,,,
CALL,E8,,,CALL,,,,,,,,,,,,,
CALL,FF,2,,CALL,,,,,,,,,,,,,
CALL,FF,3,,CALL,,,,,,,,,,,,,
CALL,9A,,,CALL,,,,,,,,,,,,,
CBW,98,,,CBW,,,,,,,,,,,,,
CLC,F8,,,CLC,,,,,,,,,,,,,
CLD,FC,,,CLD,,,,,,,,,,,,,
CLI,FA,,,CLI,,,,,,,,,,,,,
CLTS,0F06,,,CLTS,,,,,,,,,,,,,
