MNEMONIC,OPCODE,/d,+r,EQIV,KeepOV,Op1_t,Op2_t,Imm3,Read1,Read2,R1->1,R2->2,R2->reg,Scale_OV,Out_reg,Imm_val
AAA,37,,,AAA,,AX,,,1,,1,,,,,
AAD,D5,,,AAD,,AX,,,1,,1,,,,,
AAM,D4,,,AAM,,AX,,,1,,1,,,,,
AAS,3F,,,AAS,,AX,,,1,,1,,,,,
ADC,14,,,ADC,,AL,imm8,,1,1,1,,,,,
ADC,15,,,ADC,1,A,imm,,1,1,1,,,,,
ADC,80,2,,ADC,,r/m8,imm8,,1,1,1,,,,,
ADC,81,2,,ADC,1,r/m,imm,,1,1,1,,,,,
ADC,83,2,,ADC,1,r/m,imm32,,1,1,1,,,,,
ADC,10,,,ADC,,r/m8,r8,,1,1,1,,,,,
ADC,11,,,ADC,1,r/m,r,,1,1,1,,,,,
ADC,12,,,ADC,,r8,r/m8,,1,1,1,,,,,
ADC,13,,,ADC,,r,r/m,,1,1,1,,,,,
ADD,4,,,ADD,,AL,imm8,,1,1,1,,,,,
ADD,5,,,ADD,1,A,imm,,1,1,1,,,,,
ADD,80,0,,ADD,,r/m8,imm8,,1,1,1,,,,,
ADD,81,0,,ADD,1,r/m,imm,,1,1,1,,,,,
ADD,83,0,,ADD,1,r/m,imm32,,1,1,1,,,,,
ADD,0,,,ADD,,r/m8,r8,,1,1,1,,,,,
ADD,1,,,ADD,1,r/m,r,,1,1,1,,,,,
ADD,2,,,ADD,,r8,r/m8,,1,1,1,,,,,
ADD,3,,,ADD,1,r,r/m,,1,1,1,,,,,
AND,24,,,AND,,AL,imm8,,1,1,1,,,,,
AND,25,,,AND,1,A,imm,,1,1,1,,,,,
AND,80,4,,AND,,r/m8,imm8,,1,1,1,,,,,
AND,81,4,,AND,1,r/m,imm,,1,1,1,,,,,
AND,83,4,,AND,1,r/m,imm32,,1,1,1,,,,,
AND,20,,,AND,,r/m8,r8,,1,1,1,,,,,
AND,21,,,AND,1,r/m,r,,1,1,1,,,,,
AND,22,,,AND,1,r8,r/m8,,1,1,1,,,,,
AND,23,,,AND,1,r,r/m,,1,1,1,,,,,
ARPL,63,,,ARPL,,r/m16,r16,,1,1,1,,,,,
BOUND,62,,,BOUND,1,r,m32&32,,1,1,,,,,,
BSF,0FBC,,,BSF,1,r,r/m,,1,1,1,,,,,
BSR,0FBD,,,BSR,1,r,r/m,,1,1,1,,,,,
BT,0FA3,,,BT,1,r/m,r,,1,1,,,,,,
BT,0FBA,4,,BT,1,r/m,imm8,,1,1,,,,,,
BTC,0FBB,,,BTC,1,r/m,r,,1,1,1,,,,,
BTC,0FBA,7,,BTC,1,r/m,imm8,,1,1,1,,,,,
BTR,0FB3,,,BTR,1,r/m,r,,1,1,1,,,,,
BTR,0FBA,6,,BTR,1,r/m,imm8,,1,1,1,,,,,
BTS,0FAB,,,BTS,1,r/m,r,,1,1,1,,,,,
BTS,0FBA,5,,BTS,1,r/m,imm8,,1,1,1,,,,,
CALL,E8,,,CALL,1,rel,,,1,,,,,,,
