MNEMONIC,OPCODE,ARITH,STR,JMP,ST_MA,GET_FLAGS,CTRL_REG
AAA,0,1,0,0,0,1,0
AAD,1,1,0,0,0,1,0
AAM,2,1,0,0,0,1,0
AAS,3,1,0,0,0,1,0
ADC,4,1,0,0,0,1,0
ADD,5,1,0,0,0,1,0
AND,6,1,0,0,0,1,0
ARPL,7,1,0,0,0,1,0
BOUND,8,1,0,0,0,0,0
BSF,9,1,0,0,0,1,0
BSR,10,1,0,0,0,1,0
BT,11,1,0,0,0,1,0
BTC,12,1,0,0,0,1,0
BTR,13,1,0,0,0,1,0
BTS,14,1,0,0,0,1,0
CBW,15,1,0,0,0,0,0
CLC,16,1,0,0,0,1,0
CLD,17,1,0,0,0,1,0
CLI,18,1,0,0,0,1,0
CLTS,19,1,0,0,0,0,1
CMC,20,1,0,0,0,1,0
CMP,21,1,0,0,0,1,0
CWD,22,1,0,0,0,0,0
DAA,23,1,0,0,0,1,0
DAS,24,1,0,0,0,1,0
DEC,25,1,0,0,0,1,0
DIV,26,1,0,0,0,0,0
IDIV,27,1,0,0,0,0,0
IMUL,28,1,0,0,0,1,0
INC,29,1,0,0,0,1,0
LAHF,30,1,0,0,0,1,0
LEA,31,1,0,0,0,0,0
MOV,32,1,0,0,0,0,0
MOVSX,33,1,0,0,0,0,0
MOVZX,34,1,0,0,0,0,0
MUL,35,1,0,0,0,1,0
NEG,36,1,0,0,0,1,0
NOP,37,1,0,0,0,0,0
NOT,38,1,0,0,0,0,0
OR,39,1,0,0,0,1,0
ROT,40,1,0,0,0,1,0
SAHF,41,1,0,0,0,1,0
SHFT,42,1,0,0,0,1,0
SBB,43,1,0,0,0,1,0
SETcc,44,1,0,0,0,1,0
SHD,45,1,0,0,0,1,0
STC,46,1,0,0,0,1,0
STD,47,1,0,0,0,1,0
STI,48,1,0,0,0,1,0
SUB,49,1,0,0,0,1,0
TEST,50,1,0,0,0,1,0
XCHG,51,1,0,0,0,0,0
XLAT,52,1,0,0,0,0,0
XOR,53,1,0,0,0,1,0
HLT,0,0,0,0,0,0,0
IN,1,0,0,0,0,1,1
LAR,2,0,0,0,0,0,0
LGDT,3,0,0,0,0,0,0
LGS,4,0,0,0,0,0,0
LLDT,5,0,0,0,0,0,0
LMSW,6,0,0,0,0,0,1
LOCK,7,0,0,0,0,0,0
LSL,8,0,0,0,0,0,0
LTR,9,0,0,0,0,0,0
OUT,10,0,0,0,0,1,1
POP,11,0,0,0,0,0,0
POPF,12,0,0,0,0,1,0
PUSH,13,0,0,0,0,0,0
PUSHF,14,0,0,0,0,1,0
SGDT,15,0,0,0,0,0,0
SLDT,16,0,0,0,0,0,0
SMSW,17,0,0,0,0,0,1
STR,18,0,0,0,0,0,0
VERR,19,0,0,0,0,0,0
WAIT,20,0,0,0,0,0,0
CMPS,0,0,1,0,0,0,0
INS,1,0,1,0,0,0,0
LODS,2,0,1,0,0,0,0
MOVS,3,0,1,0,0,0,0
OUTS,4,0,1,0,0,0,0
SCAS,5,0,1,0,0,0,0
STOS,6,0,1,0,0,0,0
CALL,0,0,0,1,0,0,0
INT,1,0,0,1,0,0,0
IRET,2,0,0,1,0,0,0
Jcc,3,0,0,1,0,1,0
JMP,4,0,0,1,0,0,0
LOOP,5,0,0,1,0,1,0
REP,6,0,0,1,0,1,0
RET,7,0,0,1,0,1,0
ENTER,0,0,0,0,1,0,0
LEAVE,1,0,0,0,1,0,0
POPA,2,0,0,0,1,0,0
PUSHA,3,0,0,0,1,0,0
